Dataset,Mode,Anomaly_ID,Trace_ID,Fitness_Pre,Fitness_Post,Delta,Outcome
testBank,ISOLATED,Sub2,trace_1578,0.7500,0.8750,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_151,0.8947,1.0000,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1587,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1590,0.8409,0.9318,0.0909,IMPROVED
testBank,ISOLATED,Sub2,trace_1591,0.8824,0.9608,0.0784,IMPROVED
testBank,ISOLATED,Sub2,trace_1592,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1594,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1595,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1597,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1599,0.7353,0.8529,0.1176,IMPROVED
testBank,ISOLATED,Sub2,trace_1600,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1602,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1603,0.8947,1.0000,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1608,0.8148,0.9630,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1610,0.7941,0.9118,0.1176,IMPROVED
testBank,ISOLATED,Sub2,trace_1616,0.7500,0.8611,0.1111,IMPROVED
testBank,ISOLATED,Sub2,trace_1618,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1622,0.7500,0.8750,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1624,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1625,0.8043,0.8913,0.0870,IMPROVED
testBank,ISOLATED,Sub2,trace_155,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1626,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1632,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1633,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1634,0.8810,0.9762,0.0952,IMPROVED
testBank,ISOLATED,Sub2,trace_1635,0.7500,0.8750,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1638,0.8974,1.0000,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1640,0.8235,0.9412,0.1176,IMPROVED
testBank,ISOLATED,Sub2,trace_1644,0.7879,0.9091,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1646,0.7667,0.9000,0.1333,IMPROVED
testBank,ISOLATED,Sub2,trace_1648,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1652,0.9000,0.9800,0.0800,IMPROVED
testBank,ISOLATED,Sub2,trace_1654,0.8947,1.0000,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1657,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1658,0.7059,0.8235,0.1176,IMPROVED
testBank,ISOLATED,Sub2,trace_1659,0.8250,0.9250,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1661,0.8974,1.0000,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1665,0.8235,0.9412,0.1176,IMPROVED
testBank,ISOLATED,Sub2,trace_1666,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1667,0.6364,0.7576,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1669,0.7500,0.8750,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1670,0.6571,0.7714,0.1143,IMPROVED
testBank,ISOLATED,Sub2,trace_1672,0.8947,1.0000,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1674,0.6667,0.7879,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_159,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1683,0.8478,0.9348,0.0870,IMPROVED
testBank,ISOLATED,Sub2,trace_1685,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1687,0.8148,0.9630,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1688,0.7857,0.8810,0.0952,IMPROVED
testBank,ISOLATED,Sub2,trace_160,0.7073,0.8049,0.0976,IMPROVED
testBank,ISOLATED,Sub2,trace_1695,0.6786,0.8214,0.1429,IMPROVED
testBank,ISOLATED,Sub2,trace_1696,0.8857,1.0000,0.1143,IMPROVED
testBank,ISOLATED,Sub2,trace_1698,0.9024,1.0000,0.0976,IMPROVED
testBank,ISOLATED,Sub2,trace_1701,0.6667,0.7879,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1702,0.7667,0.9000,0.1333,IMPROVED
testBank,ISOLATED,Sub2,trace_161,0.9070,1.0000,0.0930,IMPROVED
testBank,ISOLATED,Sub2,trace_1704,0.8788,1.0000,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1705,0.8913,0.9783,0.0870,IMPROVED
testBank,ISOLATED,Sub2,trace_1706,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1711,0.7500,0.8611,0.1111,IMPROVED
testBank,ISOLATED,Sub2,trace_1713,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1715,0.8148,0.9630,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1716,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1723,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1727,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1729,0.8125,0.9375,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1732,0.8974,1.0000,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1734,0.7179,0.8205,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_163,0.9111,1.0000,0.0889,IMPROVED
testBank,ISOLATED,Sub2,trace_1738,0.8158,0.9211,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1740,0.6667,0.7692,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1741,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1742,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1743,0.8919,1.0000,0.1081,IMPROVED
testBank,ISOLATED,Sub2,trace_1745,0.8605,0.9535,0.0930,IMPROVED
testBank,ISOLATED,Sub2,trace_17,0.7667,0.9000,0.1333,IMPROVED
testBank,ISOLATED,Sub2,trace_1749,0.7838,0.8919,0.1081,IMPROVED
testBank,ISOLATED,Sub2,trace_1750,0.8235,0.9412,0.1176,IMPROVED
testBank,ISOLATED,Sub2,trace_1756,0.7407,0.8889,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_165,0.6757,0.7838,0.1081,IMPROVED
testBank,ISOLATED,Sub2,trace_1759,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1764,0.8913,0.9783,0.0870,IMPROVED
testBank,ISOLATED,Sub2,trace_1765,0.7805,0.8780,0.0976,IMPROVED
testBank,ISOLATED,Sub2,trace_1766,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1768,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1770,0.7692,0.8718,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1772,0.8205,0.9231,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1776,0.8421,0.9474,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1777,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1778,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_169,0.7708,0.8542,0.0833,IMPROVED
testBank,ISOLATED,Sub2,trace_1782,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1783,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1786,0.8049,0.9024,0.0976,IMPROVED
testBank,ISOLATED,Sub2,trace_1788,0.7500,0.8409,0.0909,IMPROVED
testBank,ISOLATED,Sub2,trace_1789,0.7500,0.8611,0.1111,IMPROVED
testBank,ISOLATED,Sub2,trace_1790,0.8148,0.9630,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1793,0.7073,0.8049,0.0976,IMPROVED
testBank,ISOLATED,Sub2,trace_1796,0.7941,0.9118,0.1176,IMPROVED
testBank,ISOLATED,Sub2,trace_1798,0.8611,0.9722,0.1111,IMPROVED
testBank,ISOLATED,Sub2,trace_1809,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1810,0.8810,0.9762,0.0952,IMPROVED
testBank,ISOLATED,Sub2,trace_1813,0.5429,0.6571,0.1143,IMPROVED
testBank,ISOLATED,Sub2,trace_1819,0.8857,1.0000,0.1143,IMPROVED
testBank,ISOLATED,Sub2,trace_1820,0.8857,1.0000,0.1143,IMPROVED
testBank,ISOLATED,Sub2,trace_1823,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1824,0.8919,1.0000,0.1081,IMPROVED
testBank,ISOLATED,Sub2,trace_173,0.7500,0.8611,0.1111,IMPROVED
testBank,ISOLATED,Sub2,trace_1827,0.8125,0.9375,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1831,0.8125,0.9375,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1833,0.7805,0.8780,0.0976,IMPROVED
testBank,ISOLATED,Sub2,trace_1834,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1835,0.7714,0.8857,0.1143,IMPROVED
testBank,ISOLATED,Sub2,trace_1836,0.8718,0.9744,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_174,0.7353,0.8529,0.1176,IMPROVED
testBank,ISOLATED,Sub2,trace_1837,0.7750,0.8750,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1839,0.8947,1.0000,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1840,0.8788,1.0000,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1841,0.6500,0.7500,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1842,0.7000,0.8000,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1843,0.6667,0.7879,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1844,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1845,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1849,0.7273,0.8485,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1850,0.5862,0.7241,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1851,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1854,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1856,0.8049,0.9024,0.0976,IMPROVED
testBank,ISOLATED,Sub2,trace_1858,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1865,0.7143,0.7959,0.0816,IMPROVED
testBank,ISOLATED,Sub2,trace_1868,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1869,0.6136,0.7045,0.0909,IMPROVED
testBank,ISOLATED,Sub2,trace_177,0.7407,0.8889,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1870,0.8148,0.9630,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1871,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1873,0.6786,0.8214,0.1429,IMPROVED
testBank,ISOLATED,Sub2,trace_1874,0.7895,0.8947,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1875,0.7692,0.8718,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1878,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1879,0.7353,0.8529,0.1176,IMPROVED
testBank,ISOLATED,Sub2,trace_1881,0.7209,0.8140,0.0930,IMPROVED
testBank,ISOLATED,Sub2,trace_1889,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1892,0.8000,0.9000,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1895,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_180,0.7073,0.8049,0.0976,IMPROVED
testBank,ISOLATED,Sub2,trace_1902,0.8000,0.9000,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1905,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1906,0.8974,1.0000,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_181,0.8000,0.9000,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1909,0.9070,1.0000,0.0930,IMPROVED
testBank,ISOLATED,Sub2,trace_1911,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1914,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1916,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1917,0.7667,0.9000,0.1333,IMPROVED
testBank,ISOLATED,Sub2,trace_1920,0.7073,0.8049,0.0976,IMPROVED
testBank,ISOLATED,Sub2,trace_183,0.8857,1.0000,0.1143,IMPROVED
testBank,ISOLATED,Sub2,trace_1921,0.8148,0.9630,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1923,0.8500,0.9500,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1924,0.8235,0.9412,0.1176,IMPROVED
testBank,ISOLATED,Sub2,trace_1926,0.7941,0.9118,0.1176,IMPROVED
testBank,ISOLATED,Sub2,trace_1930,0.8788,1.0000,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1931,0.8250,0.9250,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1932,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1934,0.7879,0.9091,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1936,0.8788,1.0000,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1937,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1938,0.7500,0.8611,0.1111,IMPROVED
testBank,ISOLATED,Sub2,trace_186,0.8148,0.9630,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1943,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1945,0.6875,0.8125,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1947,0.9245,1.0000,0.0755,IMPROVED
testBank,ISOLATED,Sub2,trace_1949,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1950,0.8148,0.9630,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1953,0.8857,1.0000,0.1143,IMPROVED
testBank,ISOLATED,Sub2,trace_187,0.8947,1.0000,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1956,0.8500,0.9500,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1963,0.8148,0.9630,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1964,0.6667,0.7692,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1967,0.8611,0.9722,0.1111,IMPROVED
testBank,ISOLATED,Sub2,trace_1971,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1976,0.8810,0.9762,0.0952,IMPROVED
testBank,ISOLATED,Sub2,trace_1977,0.7632,0.8684,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1980,0.8000,0.9000,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1982,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1983,0.8857,1.0000,0.1143,IMPROVED
testBank,ISOLATED,Sub2,trace_189,0.7188,0.8438,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1984,0.8913,0.9783,0.0870,IMPROVED
testBank,ISOLATED,Sub2,trace_1987,0.7500,0.8750,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1988,0.8750,0.9750,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1990,0.8857,1.0000,0.1143,IMPROVED
testBank,ISOLATED,Sub2,trace_1994,0.7895,0.8947,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1995,0.8947,1.0000,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_19,0.8788,1.0000,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1999,0.5862,0.7241,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_191,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_194,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_195,0.8947,1.0000,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_198,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_199,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_202,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_204,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_20,0.9184,1.0000,0.0816,IMPROVED
testBank,ISOLATED,Sub2,trace_205,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_206,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_207,0.8788,1.0000,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_209,0.8205,0.9231,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_214,0.8947,1.0000,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_21,0.7750,0.8750,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_222,0.8857,1.0000,0.1143,IMPROVED
testBank,ISOLATED,Sub2,trace_224,0.7500,0.8750,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_227,0.7561,0.8537,0.0976,IMPROVED
testBank,ISOLATED,Sub2,trace_229,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_231,0.8421,0.9474,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_232,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_234,0.7667,0.9000,0.1333,IMPROVED
testBank,ISOLATED,Sub2,trace_236,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_238,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_239,0.8158,0.9211,0.1053,IMPROVED
